Name,Designation,Department,Email,Profile_URL
Dr. Chitra V,"Dean, Professor & Head, Department of Pharmacology, College of Pharmacy",,,https://www.srmist.edu.in/faculty/prof-v-chitra/
Dr. Duraisamy A,"Dean, Faculty of Science and Humanities",,,https://www.srmist.edu.in/faculty/dr-duraisamy-a/
Dr. Ganapathy Sankar U,"Dean,  College of Occupational Therapy",,,https://www.srmist.edu.in/faculty/dr-ganapathy-sankar-u/
Dr. Hari Singh,"Dean, School of Public Health",,,https://www.srmist.edu.in/faculty/dr-hari-singh/
Dr. Helen Shaji J C,"Dean, SRM College of Nursing",,,https://www.srmist.edu.in/faculty/dr-helen-shaji-j-c/
Dr. Jawaharlal M,"Dean,  SRM College of Agriculture Sciences",,,https://www.srmist.edu.in/faculty/dr-jawaharlal-m/
Dr. Leenus Jesu Martin M,"Dean, Faculty of Engineering and Technology",,,https://www.srmist.edu.in/faculty/dr-m-leenus-jesu-martin/
Dr. Shivganesh Bhargava,"Dean, Faculty of Management",,,https://www.srmist.edu.in/faculty/dr-shivganesh-bhargava/
Prof. (Dr.) P. Sree Sudha,"Dean, School of Law",,,https://www.srmist.edu.in/faculty/prof-p-sree-sudha/
Prof. Veeragoudhaman T S,"Dean i/c, College of Physiotherapy",,,https://www.srmist.edu.in/faculty/prof-t-s-veeragoudhaman/
Dr. Arthanareeswari M,Professor & Chairperson (School of Basic Sciences),,,https://www.srmist.edu.in/faculty/dr-m-arthanareeswari/
Dr. Bernaurdshaw Neppolian,Dean (Research),,,https://www.srmist.edu.in/faculty/dr-bernaurdshaw-neppolian/
