Name,Designation,Department,Email,Profile_URL
Dr. Pushpalatha M,Professor and Associate Chairperson (School of Computing),,,https://www.srmist.edu.in/faculty/dr-m-pushpalatha/
Dr. Sridhar S S,Professor & Associate Dean (Academics - CET),,,https://www.srmist.edu.in/faculty/s-s-sridhar/
Dr. Niranjana G,Professor and Head (Computing Technologies),,,https://www.srmist.edu.in/faculty/dr-g-niranjana/
Dr. Amutha B,Professor,,,https://www.srmist.edu.in/faculty/amutha-b/
Dr. Baranidharan B,Professor,,,https://www.srmist.edu.in/faculty/dr-b-baranidharan/
Dr. Indhumathi R,Professor,,,https://www.srmist.edu.in/faculty/dr-indhumathi-r/
Dr. Kavitha S,Professor,,,https://www.srmist.edu.in/faculty/dr-s-kavitha/
Dr. Madhavan P,Professor,,,https://www.srmist.edu.in/faculty/dr-p-madhavan/
Dr. Malathi D,Professor,,,https://www.srmist.edu.in/faculty/d-malathi/
Dr. Manoranjitham T,Professor,,,https://www.srmist.edu.in/faculty/t-manoranjitham/
Dr. Minu R I,Professor,,,https://www.srmist.edu.in/faculty/dr-r-i-minu/
Dr. Murali M,Professor,,,https://www.srmist.edu.in/faculty/dr-m-murali/
Dr. Pongiannan R K,Professor,,,https://www.srmist.edu.in/faculty/dr-r-k-pongiannan/
Dr. Poovammal E,Professor and Director (Hostels),,,https://www.srmist.edu.in/faculty/e-poovammal/
Dr. Ramamoorthy S,Professor,,,https://www.srmist.edu.in/faculty/dr-s-ramamoorthy/
Dr. Shakeela  Sathish,Professor,,,https://www.srmist.edu.in/faculty/dr-shakeela-sathish/
Dr. Subalalitha C N,Professor,,,https://www.srmist.edu.in/faculty/subalalitha-c-n/
Dr. Umadevi M,Professor,,,https://www.srmist.edu.in/faculty/dr-m-umadevi/
Dr. Usha G,Professor,,,https://www.srmist.edu.in/faculty/dr-g-usha/
Dr. Vijaya K,Professor,,,https://www.srmist.edu.in/faculty/dr-k-vijaya/
Dr. Akilandeswari P,Associate Professor,,,https://www.srmist.edu.in/faculty/p-akilandeswari/
Dr. Anitha K,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-anitha-k/
Dr. Anto Arockia Rosaline R,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-r-anto-arockia-rosaline/
Dr. Arthi B,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-b-arthi/
